Tabla generada el 2/1/2024 a las 21:38:34

N    VALOR CUOTA   CAPITAL     INTERES      SALDO      FECHA
1	|	65.32	|	50.32	|	15.00	|	1200.00	|	02/02/2024
2	|	65.32	|	50.95	|	14.37	|	1149.68	|	04/03/2024
3	|	65.32	|	51.59	|	13.73	|	1098.72	|	04/04/2024
4	|	65.32	|	52.24	|	13.09	|	1047.13	|	06/05/2024
5	|	65.32	|	52.89	|	12.44	|	994.89	|	06/06/2024
6	|	65.32	|	53.55	|	11.78	|	942.01	|	08/07/2024
7	|	65.32	|	54.22	|	11.11	|	888.46	|	08/08/2024
8	|	65.32	|	54.90	|	10.43	|	834.24	|	09/09/2024
9	|	65.32	|	55.58	|	9.74	|	779.34	|	10/10/2024
10	|	65.32	|	56.28	|	9.05	|	723.76	|	11/11/2024
11	|	65.32	|	56.98	|	8.34	|	667.48	|	11/12/2024
12	|	65.32	|	57.69	|	7.63	|	610.50	|	13/01/2025
13	|	65.32	|	58.41	|	6.91	|	552.80	|	14/02/2025
14	|	65.32	|	59.15	|	6.18	|	494.39	|	14/03/2025
15	|	65.32	|	59.88	|	5.44	|	435.24	|	14/04/2025
16	|	65.32	|	60.63	|	4.69	|	375.36	|	14/05/2025
17	|	65.32	|	61.39	|	3.93	|	314.72	|	16/06/2025
18	|	65.32	|	62.16	|	3.17	|	253.33	|	16/07/2025
19	|	65.32	|	62.94	|	2.39	|	191.18	|	18/08/2025
20	|	65.32	|	63.72	|	1.60	|	128.24	|	18/09/2025
21	|	65.32	|	64.52	|	0.81	|	64.52	|	20/10/2025
