Tabla generada el 27/1/2024 a las 1:39:58

N    VALOR CUOTA   CAPITAL     INTERES      SALDO      FECHA
1	|	902.58	|	777.58	|	125.00	|	10000.00	|	27/02/2024
2	|	902.58	|	787.30	|	115.28	|	9222.42	|	27/03/2024
3	|	902.58	|	797.14	|	105.44	|	8435.11	|	29/04/2024
4	|	902.58	|	807.11	|	95.47	|	7637.97	|	29/05/2024
5	|	902.58	|	817.20	|	85.39	|	6830.86	|	01/07/2024
6	|	902.58	|	827.41	|	75.17	|	6013.66	|	01/08/2024
7	|	902.58	|	837.75	|	64.83	|	5186.25	|	02/09/2024
8	|	902.58	|	848.23	|	54.36	|	4348.50	|	02/10/2024
9	|	902.58	|	858.83	|	43.75	|	3500.27	|	04/11/2024
10	|	902.58	|	869.57	|	33.02	|	2641.44	|	04/12/2024
11	|	902.58	|	880.43	|	22.15	|	1771.87	|	06/01/2025
12	|	902.58	|	891.44	|	11.14	|	891.44	|	06/02/2025
